Rotszwaluw	Ptyonoprogne rupestris
Boerenzwaluw	Hirundo rustica
Huiszwaluw	Delichon urbicum
Roodstuitzwaluw	Cecropis daurica
Cetti's Zanger	Cettia cetti
Staartmees	Aegithalos caudatus
Kroonboszanger	Phylloscopus coronatus
Groene Fitis	Phylloscopus nitidus
Swinhoes Boszanger	Phylloscopus plumbeitarsus
Grauwe Fitis	Phylloscopus trochiloides
Noordse Boszanger	Phylloscopus borealis
Pallas' Boszanger	Phylloscopus proregulus
Bladkoning	Phylloscopus inornatus
Humes Bladkoning	Phylloscopus humei
Raddes Boszanger	Phylloscopus schwarzi
Bruine Boszanger	Phylloscopus fuscatus
Bergfluiter	Phylloscopus bonelli
Balkanbergfluiter	Phylloscopus orientalis
Fluiter	Phylloscopus sibilatrix
Tjiftjaf	Phylloscopus collybita
Siberische Tjiftjaf	Phylloscopus tristis
Iberische Tjiftjaf	Phylloscopus ibericus
Fitis	Phylloscopus trochilus
Zwartkop	Sylvia atricapilla
Tuinfluiter	Sylvia borin
Afrikaanse Woestijngrasmus	Sylvia deserti
Woestijngrasmus	Sylvia nana
Sperwergrasmus	Sylvia nisoria
Braamsluiper	Sylvia curruca
Westelijke Orpheusgrasmus	Sylvia hortensis
Kleine Zwartkop	Sylvia melanocephala
Grasmus	Sylvia communis
Westelijke Baardgrasmus	Sylvia inornata
Balkanbaardgrasmus	Sylvia cantillans
Brilgrasmus	Sylvia conspicillata
Provençaalse Grasmus	Sylvia undata
Siberische Sprinkhaanzanger	Locustella certhiola
Kleine Sprinkhaanzanger	Locustella lanceolata
Sprinkhaanzanger	Locustella naevia
Krekelzanger	Locustella fluviatilis
Snor	Locustella luscinioides
Grote Vale Spotvogel	Hippolais languida
Spotvogel	Hippolais icterina
Orpheusspotvogel	Hippolais polyglotta
Kleine Spotvogel	Iduna caligata
Sykes' Spotvogel	Iduna rama
Grote Karekiet	Acrocephalus arundinaceus
Veldrietzanger	Acrocephalus agricola
Struikrietzanger	Acrocephalus dumetorum
Bosrietzanger	Acrocephalus palustris
Kleine Karekiet	Acrocephalus scirpaceus
Waterrietzanger	Acrocephalus paludicola
Rietzanger	Acrocephalus schoenobaenus
Zwartkoprietzanger	Acrocephalus melanopogon
Graszanger	Cisticola juncidis
Pestvogel	Bombycilla garrulus
Rotskruiper	Tichodroma muraria
Boomklever	Sitta europaea
Taigaboomkruiper	Certhia familiaris
Boomkruiper	Certhia brachydactyla
Winterkoning	Nannus troglodytes
Spotlijster	Mimus polyglottos
Daurische Spreeuw	Agropsar sturninus
Roze Spreeuw	Pastor roseus
Spreeuw	Sturnus vulgaris
Waterspreeuw	Cinclus cinclus
Goudlijster	Zoothera aurea
Grijswangdwerglijster	Catharus minimus
Siberische Lijster	Geokichla sibirica
Beflijster	Turdus torquatus
Merel	Turdus merula
Vale Lijster	Turdus obscurus
Bruine Lijster	Turdus eunomus
Zwartkeellijster	Turdus atrogularis
Kramsvogel	Turdus pilaris
Zanglijster	Turdus philomelos
Koperwiek	Turdus iliacus
Grote Lijster	Turdus viscivorus
Roodborstlijster	Turdus migratorius
Rosse Waaierstaart	Cercotrichas galactotes
Grauwe Vliegenvanger	Muscicapa striata
Roodborst	Erithacus rubecula
Noordse Nachtegaal	Luscinia luscinia
Nachtegaal	Luscinia megarhynchos
Blauwborst	Luscinia svecica
Roodkeelnachtegaal	Calliope calliope
Blauwstaart	Tarsiger cyanurus
Perzische Roodborst	Irania gutturalis
Zwarte Roodstaart	Phoenicurus ochruros
Gekraagde Roodstaart	Phoenicurus phoenicurus
Rode Rotslijster	Monticola saxatilis
Blauwe Rotslijster	Monticola solitarius
Kleine Vliegenvanger	Ficedula parva
Withalsvliegenvanger	Ficedula albicollis
Bonte Vliegenvanger	Ficedula hypoleuca
Paapje	Saxicola rubetra
Roodborsttapuit	Saxicola rubicola
Aziatische Roodborsttapuit	Saxicola maurus
Stejnegers Roodborsttapuit	Saxicola stejnegeri
Tapuit	Oenanthe oenanthe
Seebohms Tapuit	Oenanthe seebohmi
Izabeltapuit	Oenanthe isabellina
Woestijntapuit	Oenanthe deserti
Westelijke Blonde Tapuit	Oenanthe hispanica
Oostelijke Blonde Tapuit	Oenanthe melanoleuca
Bonte Tapuit	Oenanthe pleschanka
Alpenheggenmus	Prunella collaris
Heggenmus	Prunella modularis
Bergheggenmus	Prunella montanella
Huismus	Passer domesticus
Spaanse Mus	Passer hispaniolensis
Ringmus	Passer montanus
Engelse Kwikstaart	Motacilla flavissima
Gele Kwikstaart	Motacilla flava
Noordse Kwikstaart	Motacilla thunbergi
Balkankwikstaart	Motacilla feldegg
Citroenkwikstaart	Motacilla citreola
Grote Gele Kwikstaart	Motacilla cinerea
Witte Kwikstaart	Motacilla alba
Rouwkwikstaart	Motacilla yarrellii
Grote Pieper	Anthus richardi
Mongoolse Pieper	Anthus godlewskii
Duinpieper	Anthus campestris
Siberische Boompieper	Anthus hodgsoni
Boompieper	Anthus trivialis
Graspieper	Anthus pratensis
Roodkeelpieper	Anthus cervinus
Oeverpieper	Anthus petrosus
Waterpieper	Anthus spinoletta
Keep	Fringilla montifringilla
Vink	Fringilla coelebs
Appelvink	Coccothraustes coccothraustes
Roodmus	Erythrina erythrina
Haakbek	Pinicola enucleator
Goudvink	Pyrrhula pyrrhula
Woestijnvink	Bucanetes githagineus
Groenling	Chloris chloris
Kneu	Linaria cannabina
Frater	Linaria flavirostris
Kleine Barmsijs	Acanthis cabaret
Grote Barmsijs	Acanthis flammea
Witstuitbarmsijs	Acanthis hornemanni
Witbandkruisbek	Loxia leucoptera
Kruisbek	Loxia curvirostra
Grote Kruisbek	Loxia pytyopsittacus
Putter	Carduelis carduelis
Europese Kanarie	Serinus serinus
Sijs	Spinus spinus
Sneeuwgors	Plectrophenax nivalis
IJsgors	Calcarius lapponicus
Zanggors	Melospiza melodia
Witkeelgors	Zonotrichia albicollis
Grijze Junco	Junco hyemalis
Bruinkopgors	Emberiza bruniceps
Zwartkopgors	Emberiza melanocephala
Grauwe Gors	Emberiza calandra
Grijze Gors	Emberiza cia
Steenortolaan	Emberiza buchanani
Bruinkeelortolaan	Emberiza caesia
Ortolaan	Emberiza hortulana
Cirlgors	Emberiza cirlus
Geelgors	Emberiza citrinella
Witkopgors	Emberiza leucocephalos
Rietgors	Emberiza schoeniclus
Wilgengors	Emberiza aureola
Rosse Gors	Emberiza rutila
Geelbrauwgors	Emberiza chrysophrys
Dwerggors	Emberiza pusilla
Bosgors	Emberiza rustica
Maskergors	Emberiza spodocephala
Glanstroepiaal	Quiscalus quiscula
Geelkoptroepiaal	Xanthocephalus xanthocephalus
Baltimoretroepiaal	Icterus galbula
Noordse Waterlijster	Parkesia noveboracensis
Mirtezanger	Setophaga coronata
